# Exp data drom Driver and Seegmiller,
# y is y/H, u is u/Uref, v is v/Uref,
# uu is 1000*u'u'/Uref**2
# vv is 1000*v'v'/Uref**2
# uv is 1000*u'v'/Uref**2
# triple moments are 10000*u'u'u'/Uref**3 (for example)
# variables="ID","y","u","v","uu","vv","uv","uuu","uvv","vuu","vvv"
# zone,t="exp, x/H=10"
            2  0.10  0.418 -0.029  8.89  5.63 -1.43   2.05  0.73 -0.34 -0.46
            3  0.15  0.433 -0.027  9.97  6.15 -1.84   2.59  0.74 -0.35 -1.10
            4  0.20  0.447 -0.032 10.51  6.97 -2.35   2.19  0.83 -0.25 -0.99
            5  0.30  0.471 -0.036 11.57  8.34 -3.43   1.23  0.55 -0.24 -0.37
            6  0.40  0.496 -0.041 12.24  9.08 -4.19   0.67 -0.37  0.07  0.46
            7  0.50  0.526 -0.043 12.86  9.16 -4.51  -1.12 -1.29  0.99  1.47
            8  0.60  0.560 -0.045 13.37  9.05 -4.61  -3.54 -2.59  2.08  2.43
            9  0.70  0.596 -0.047 13.03  8.44 -4.61  -5.62 -3.18  3.10  3.00
           10  0.80  0.638 -0.047 12.00  7.75 -4.30  -7.23 -4.00  3.65  3.93
           11  0.90  0.676 -0.046 10.96  6.44 -3.68  -8.76 -3.81  3.96  3.37
           12  1.00  0.712 -0.047  9.04  5.35 -2.94  -8.54 -3.51  3.72  2.94
           13  1.10  0.745 -0.046  7.23  4.32 -2.33  -6.66 -2.57  2.72  2.36
           14  1.15  0.758 -0.045  6.44  3.92 -2.02  -5.85 -2.28  2.36  2.02
           15  1.20  0.772 -0.044  5.66  3.52 -1.71  -5.04 -2.00  2.01  1.68
           16  1.30  0.798 -0.042  4.22  2.80 -1.36  -2.94 -1.28  1.48  1.38
           17  1.40  0.819 -0.040  3.29  2.21 -0.96  -1.61 -0.81  0.80  0.96
           18  1.50  0.839 -0.039  2.54  1.80 -0.72  -0.83 -0.53  0.51  0.65
           19  1.70  0.871 -0.038  1.60  1.03 -0.35  -0.28 -0.09  0.11  0.15
           20  2.00  0.908 -0.034  0.96  0.66 -0.14  -0.13 -0.03  0.08  0.09
           21  2.40  0.929 -0.032  0.43  0.35  0.02   0.02  0.02  0.02  0.03
           22  2.80  0.933 -0.031  0.35  0.27  0.04   0.03  0.02  0.01  0.02
           23  3.20  0.937 -0.032  0.33  0.25  0.04   0.04  0.03  0.02  0.03
           24  3.60  0.939 -0.030  0.32  0.24  0.04   0.04  0.03  0.02  0.02
           25  4.00  0.940 -0.031  0.31  0.22  0.02   0.05  0.02  0.01  0.01
           26  5.00  0.944 -0.029  0.30  0.22  0.03   0.04  0.02  0.01  0.01
           27  6.00  0.947 -0.028  0.30  0.23  0.03   0.03  0.02  0.01  0.02
           28  7.50  0.949 -0.024  0.38  0.32  0.05   0.00  0.01  0.01  0.01
           29  8.20  0.827 -0.019  3.14  2.18  0.95  -0.49 -0.25 -0.20 -0.16
